fold,window,strategy,variant,symbols,avg_trades,avg_win_rate,avg_return_pct,avg_max_dd_pct,avg_sharpe,avg_profit_factor,score,train_start,train_end,test_start,test_end
3,train,BackQuant_VolSkew,fast,2,53.0,38.54278553526674,48.14311078148434,37.2953893913861,1.026514330601237,1.6642759160586618,40.1917102428117,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,BackQuant_VolSkew,base,2,31.0,50.055741360089186,78.96582558656286,27.24649864945754,1.5503530653422934,2.5887775572068423,84.59340094332838,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,BackQuant_VolSkew,slow,2,24.5,57.73809523809524,40.14277172271606,28.089917325585244,1.415897241306213,2.0863754343720284,42.66373232635712,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,REH_REL_Breakout,fast,2,4.0,35.714285714285715,62.840414803057044,30.84594147427522,0.9859076330790951,6.6885083525321996,70.91319713061337,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,REH_REL_Breakout,base,2,1.5,50.0,73.0488759138357,30.845941474274937,0.915369757215483,49.5,187.44500860142554,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,REH_REL_Breakout,slow,2,1.0,50.0,19.211448493165516,41.26762602654114,0.24112027529852975,49.5,120.61207563022613,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,DAFE_Bands_SmartComposite,fast,2,27.0,43.75876577840113,16.85055876961462,41.71432530577476,0.7047412689052482,1.429795672447801,2.443865456321749,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,DAFE_Bands_SmartComposite,base,2,12.0,68.0672268907563,68.45495507713485,29.966764636939747,1.3649217308174448,3.0886039968283274,71.84562359521627,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,DAFE_Bands_SmartComposite,slow,2,7.0,52.22222222222222,23.206220980493196,40.7594493542327,0.6434614335369673,1.8334681229257805,9.768836010637703,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,PrimeUltimate_Sniper,fast,2,216.0,33.80369282237138,-1.1955434374314908,50.35347761652382,-0.18733527929257277,1.0525600645864392,-30.649582638805413,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,PrimeUltimate_Sniper,base,2,201.0,32.2706200262786,7.072936005538914,49.441807340659196,-0.026199364274721693,1.1080843196156733,-20.083931242564635,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,PrimeUltimate_Sniper,slow,2,171.0,32.17116777049518,29.269605738820466,45.743008297187,0.3166395076661489,1.1932368419740513,7.973287942104889,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,Extreme_HMA_ATR,fast,2,154.0,37.65127556398904,0.603126407633459,40.86302494407404,0.0013558000898457045,1.0973643992481412,-21.157719559792152,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,Extreme_HMA_ATR,base,2,129.0,37.49168732241098,-12.1243555624035,44.408223158130326,-0.646866007843285,0.96584317283812,-42.82334160361924,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,Extreme_HMA_ATR,slow,2,73.0,39.05164319248826,5.706713910667805,40.61603282049475,0.4145291859026647,1.2055606665907477,-11.503712256125532,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,GK_Trend_Ribbon,fast,2,93.0,40.3848403322026,-18.585881318221777,37.391296972298434,-0.47995178799009464,0.929925475827603,-43.49536369193277,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,GK_Trend_Ribbon,base,2,74.0,50.51470588235294,69.26258823301592,27.197848009711763,1.398698659487325,1.6846512196301338,71.14249407113743,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,GK_Trend_Ribbon,slow,2,56.5,47.53144654088051,41.54110620842466,35.10435951869181,0.8968781761994261,1.4944432709988411,33.18338043670093,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,KTY_ABCD,fast,2,61.0,37.516960651289004,-24.593895277398342,41.91971997474025,-0.940041026256849,0.7985791819778608,-57.149689569866325,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,KTY_ABCD,base,2,35.0,43.65012615643398,-22.3503208594788,41.3631353865318,-0.5435345455829971,0.8691024235865046,-50.43079148826159,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,KTY_ABCD,slow,2,36.5,47.29420731707317,41.46265880909593,38.26321822585322,0.660220823824677,1.614773284219637,29.143869322379857,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,Gaussian_MA,fast,2,287.0,37.705415811400044,5.266517165524586,42.76043094789293,-0.2852707454639962,1.0910524940737287,-20.514817622666808,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,Gaussian_MA,base,2,200.0,37.74969374234356,17.74610117822182,39.54059699649031,0.5279319768646458,1.2045878645631403,2.312532410381948,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,train,Gaussian_MA,slow,2,160.0,33.46041055718475,-6.850108945135657,37.81261423187864,0.06465638470907917,1.1070404988462055,-26.123512390056536,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
